Name,Date,Description,URL
Sugerencias de documentos iniciales para SIC-Q,"January 5, 2026"," Lista de documentos y datos (marco legal, planeación, demografía, historial de participación, actores, trámites e infraestructura tecnológica) necesarios para construir una base de conocimientos sólida del SIC‑Q.https://www.notion.so/Sugerencias-de-documentos-iniciales-para-SIC-Q-2dfe568adb8280c5b325f1a868193554?pvs=21",https://horizonsarchitecure.notion.site/Sugerencias-de-documentos-iniciales-para-SIC-Q-2dfe568adb8280c5b325f1a868193554?source=copy_link
SIC-Q ASCII Citizens Journey v.03,"January 6, 2026","Esta página es un mockup en ASCII del citizen journey v03 del SIC‑Q, mostrando paso a paso la experiencia del ciudadano (Explorar → Participar → Proponer/Impulsar/Transformar/Conversar), incluyendo el flujo de Transformar, el seguimiento de impacto y cómo se conecta con el backend institucional.",https://horizonsarchitecure.notion.site/SIC-Q-ASCII-Citizens-Journey-v-03-2e0e568adb828033988ec1a318b7fbe0?source=copy_link
SIC-Q Diagrama Citizens Journey v.03,"January 6, 2026","Esta página muestra un diagrama (en Mermaid) que describe, de punta a punta, el journey y la arquitectura funcional del SIC‑Q: desde el co-diseño y el primer contacto ciudadano hasta el motor de inteligencia colectiva, la interfaz institucional y el ciclo de retroalimentación.",https://horizonsarchitecure.notion.site/SIC-Q-Diagrama-Citizens-Journey-v-03-2e0e568adb82801fb99dd77fcf234788?source=copy_link
SIC-Q Diagrama Citizens Journey v.04,"January 12, 2026","Esta página muestra la v.04 del diagrama (en Mermaid) que describe, de punta a punta, el journey y la arquitectura funcional del SIC‑Q: desde el co-diseño y el primer contacto ciudadano hasta el motor de inteligencia colectiva, la interfaz institucional y el ciclo de retroalimentación.",https://horizonsarchitecure.notion.site/SIC-Q-Diagrama-Citizens-Journey-v-04-2e6e568adb828037b5a3cd25757a7d91?source=copy_link
Proceso y calendario de selección de propuestas,"January 12, 2026","Proceso y calendario anual (3 ciclos) y las reglas de selección (3 vías: apoyo, calidad y representatividad territorial) para decidir qué propuestas ciudadanas pasan a deliberación institucional en el SIC‑Q.https://www.notion.so/Proceso-y-calendario-de-selecci-n-de-propuestas-2e6e568adb8280b9a0e2c0a16d02d851?pvs=21",https://horizonsarchitecure.notion.site/Proceso-y-calendario-de-selecci-n-de-propuestas-2e6e568adb8280b9a0e2c0a16d02d851?source=copy_link
SIC-Q Visor de mapas,"January 12, 2026","Una prueba de visualización de información en mapas. ",https://horizonsarchitecure.notion.site/SIC-Q-Visor-de-mapas-2e6e568adb82802eba23f7d1796aa977?source=copy_link
Primera versión de la narrativa de Presentación al Gobernador,"January 19, 2026",Una narrativa para presentar al Gobernador Mauricio Kuri la propuesta del SIC‑Q como infraestructura de inteligencia colectiva (plataforma ciudadana + motor de IA + agente de consulta) y su visión de largo plazo mediante el Instituto del Futuro.,https://horizonsarchitecure.notion.site/Primera-versi-n-de-la-narrativa-de-Presentaci-n-al-Gobernador-2ede568adb82803d8eddd029459d93cc?source=copy_link
Simulador de costos al 19.01.2026,"January 19, 2026","Un análisis que estima y desglosa el costo mensual del piloto SIC‑Q para 1,000 ciudadanos, comparando precios de LLMs, consumo de tokens e infraestructura (MCP, cloud y servicios geoespaciales), y proponiendo escenarios de gasto.",https://horizonsarchitecure.notion.site/Simulador-de-costos-al-19-01-2026-2ede568adb8280ca8eebd2018c4c2ea9?source=copy_link
Calendario de identidad gráfica de SIC-Q,"January 20, 2026","Timeline para el diseño de identidad gráfica y UI/UX, con fases de diseño, entrega y feedback de enero a mayo del SIC-Q.",https://horizonsarchitecure.notion.site/Calendario-de-identidad-gr-fica-de-SIC-Q-2eee568adb8280398b36cf00c820cac1?source=copy_link
Información para convocatoria de talleres,"January 20, 2026","Documento guía para convocar y organizar 2–3 talleres presenciales de co-diseño del SIC-Q, con objetivos, perfiles de participantes, agenda, logística y textos listos para invitación.",https://horizonsarchitecure.notion.site/Informaci-n-para-convocatoria-de-talleres-2eee568adb8280cca2ecc6ab9cdff0f3?source=copy_link
Información para convocatoria de talleres (1),"January 20, 2026","Documento guía para convocar y organizar 2–3 talleres presenciales de co-diseño del SIC-Q, con objetivos, perfiles de participantes, agenda, logística y textos listos para invitación.",https://horizonsarchitecure.notion.site/Informaci-n-para-convocatoria-de-talleres-2eee568adb8280cca2ecc6ab9cdff0f3?source=copy_link
Dinámica detallada de talleres sic-q,,,
